,Run,Epoch,Loss,Accuracy,Epoch Duration,Run Duration,lr,batch_size,shuffle
0,1,1,2.4354424047470093,0.10105,7.533235788345337,9.63064956665039,0.1,100,True
1,1,2,2.3092478239536285,0.099,7.497049808502197,17.171708583831787,0.1,100,True
2,1,3,2.30898983836174,0.09858333333333333,7.431345462799072,24.640061855316162,0.1,100,True
3,1,4,2.3099490972359975,0.10111666666666666,7.7157557010650635,32.39182424545288,0.1,100,True
4,1,5,2.3093370922406513,0.09885,7.221189022064209,39.647019386291504,0.1,100,True
5,2,1,2.4618048497041065,0.09908333333333333,7.1301023960113525,9.161177158355713,0.1,100,False
6,2,2,2.3101509082317353,0.09911666666666667,7.282751560211182,16.480937242507935,0.1,100,False
7,2,3,2.310318988164266,0.09971666666666666,7.469511270523071,23.988457202911377,0.1,100,False
8,2,4,2.310384684006373,0.09976666666666667,7.423750400543213,31.44321084022522,0.1,100,False
9,2,5,2.3104148602485655,0.09963333333333334,7.444355726242065,38.924574851989746,0.1,100,False
10,3,1,7.11219125588735,0.09868333333333333,6.833449602127075,9.369113683700562,0.1,1000,True
11,3,2,2.305028196175893,0.09871666666666666,6.786948204040527,16.20207142829895,0.1,1000,True
12,3,3,2.305465265115102,0.09868333333333333,6.958371639251709,23.202451944351196,0.1,1000,True
13,3,4,2.3042786598205565,0.09998333333333333,6.906954288482666,30.148414373397827,0.1,1000,True
14,3,5,2.3043765306472777,0.09758333333333333,7.134474992752075,37.324899435043335,0.1,1000,True
15,4,1,4.288484513759613,0.0987,6.982294321060181,9.614013195037842,0.1,1000,False
16,4,2,2.306409962972005,0.0985,7.010584831237793,16.669605493545532,0.1,1000,False
17,4,3,2.3049575328826903,0.09895,6.9639997482299805,23.680614233016968,0.1,1000,False
18,4,4,2.3047561248143515,0.09948333333333333,6.942327499389648,30.668952226638794,0.1,1000,False
19,4,5,2.30470708211263,0.09941666666666667,6.8872599601745605,37.59722137451172,0.1,1000,False
20,5,1,14.713868459065756,0.09833333333333333,7.507102012634277,15.703151941299438,0.1,10000,True
21,5,2,2.3106026649475098,0.09966666666666667,7.490191698074341,23.245355367660522,0.1,10000,True
22,5,3,2.304352323214213,0.09948333333333333,7.454382658004761,30.745747327804565,0.1,10000,True
23,5,4,2.304486115773519,0.0978,7.339970827102661,38.13172745704651,0.1,10000,True
24,5,5,2.3042686780293784,0.09883333333333333,7.354727506637573,45.52646350860596,0.1,10000,True
25,6,1,9.587481816609701,0.11313333333333334,7.343440055847168,15.645606279373169,0.1,10000,False
26,6,2,2.3138931592305503,0.10165,7.243221044540405,22.941838026046753,0.1,10000,False
27,6,3,2.3087834119796753,0.09941666666666667,7.2360851764678955,30.222917795181274,0.1,10000,False
28,6,4,2.305641531944275,0.09991666666666667,7.165982723236084,37.43590998649597,0.1,10000,False
29,6,5,2.304805874824524,0.0995,7.229381561279297,44.70630097389221,0.1,10000,False
30,7,1,0.5843890295426051,0.7798,6.974492311477661,8.964439153671265,0.01,100,True
31,7,2,0.3935346412658691,0.85435,7.083660125732422,16.104112148284912,0.01,100,True
32,7,3,0.35374671724935375,0.8696333333333334,7.089735746383667,23.24886178970337,0.01,100,True
33,7,4,0.34042556087176007,0.8766166666666667,7.017127990722656,30.327003717422485,0.01,100,True
34,7,5,0.32605002642919617,0.8804166666666666,7.074309349060059,37.464553117752075,0.01,100,True
35,8,1,0.6133416777352492,0.7680833333333333,7.023980379104614,9.006112813949585,0.01,100,False
36,8,2,0.3995344603806734,0.8519,7.0442283153533936,16.116357564926147,0.01,100,False
37,8,3,0.3665727887054284,0.8623333333333333,7.032089948654175,23.20445966720581,0.01,100,False
38,8,4,0.352581721842289,0.8693833333333333,7.082439661026001,30.348913192749023,0.01,100,False
39,8,5,0.3397877791027228,0.8748,7.000272989273071,37.41119909286499,0.01,100,False
